Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"Dice.dice_hard/mh by time/random-fu sampler/8064",0.18519934111005346,0.18448777039749076,0.18616976075840325,1.7814448619959005e-3,1.3136901774657903e-3,2.643647266670193e-3
"Dice.dice_hard/mh by time/random-fu sampler/15104",0.3461395607577002,0.3446825126029904,0.34776475608010615,2.7487687846771834e-3,1.967242896975526e-3,3.633938395578625e-3
"Dice.dice_hard/mh by time/random-fu sampler/22144",0.5098908084286309,0.507434555160779,0.5131708570506572,4.459227890362647e-3,3.3954867490478776e-3,6.148642066035579e-3
"Dice.dice_hard/mh by time/random-fu sampler/29184",0.6717658860635887,0.6698097271076745,0.6741819855854915,3.1366621052791523e-3,2.1318195536763986e-3,4.134920249100917e-3
"Dice.dice_hard/mh by time/random-fu sampler/36224",0.8313723132021762,0.828460577184506,0.8338031729184191,3.8313236665956625e-3,2.5829307952635588e-3,5.7757285443421486e-3
"Dice.dice_hard/mh by time/random-fu sampler/43264",0.9872349025279359,0.9848370593638544,0.9893741235904163,3.1444275499981204e-3,1.9546971525992466e-3,4.407433854735673e-3
"Dice.dice_hard/mh by time/random-fu sampler/50304",1.153763483047119,1.1489928335250141,1.1568479557664333,4.652477252393145e-3,2.225748809744439e-3,6.804919193991223e-3
"Dice.dice_hard/mh by time/random-fu sampler/57344",1.3173742704240599,1.3100210526851706,1.3223770434717221,7.718313951726339e-3,3.726042505287485e-3,1.1454283599704119e-2
"Dice.dice_hard/mh by time/random-fu sampler/64384",1.4731971236214172,1.4666300734061755,1.4786693865686493,6.741378825366597e-3,3.977064669863425e-3,8.66058527278012e-3
"Dice.dice_soft/importance/monad-bayes sampler/1024",2.9199369440030764e-3,2.898894320922916e-3,2.9407635159705253e-3,9.596958771450676e-5,8.559700350532872e-5,1.0788171370407608e-4
"Dice.dice_soft/importance/monad-bayes sampler/8064",2.2838713951440534e-2,2.2642724977080104e-2,2.3024691263162037e-2,6.68330438718963e-4,5.757331888043683e-4,8.126646159853757e-4
"Dice.dice_soft/importance/monad-bayes sampler/15104",4.229400447813425e-2,4.1868809475214194e-2,4.2718049449725806e-2,1.3383667902487218e-3,1.1394509321922069e-3,1.645377303363867e-3
"Dice.dice_soft/importance/monad-bayes sampler/22144",6.320965764577201e-2,6.259174856333136e-2,6.376654670386886e-2,1.6279175616526098e-3,1.313776132214985e-3,2.224631411012468e-3
"Dice.dice_soft/importance/monad-bayes sampler/29184",8.22354120276631e-2,8.147327409128423e-2,8.304677194668975e-2,2.033703434119527e-3,1.6366197676601258e-3,2.597076362361957e-3
"Dice.dice_soft/importance/monad-bayes sampler/36224",0.10238380482123198,0.10135072054353224,0.10329567633432336,2.325605353193423e-3,1.7390803466000402e-3,3.0796612711675416e-3
"Dice.dice_soft/importance/monad-bayes sampler/43264",0.12210718866797876,0.12127236811339755,0.12322470523803178,2.4851228253786168e-3,1.9141239176176889e-3,3.490658027382222e-3
