monad-bayes-0.1.0.0: benchmarks
Running 1 benchmarks...
Benchmark monad-bayes-bench: RUNNING...

model,reference,algorithm,sampler,test,1024,8064,15104,22144,29184,36224,43264,50304,57344,64384
Dice.dice,Dice.dice,mh by time,random-fu sampler,KL divergence,3.6490515466240714e-2,2.12506269577913e-3,8.92931740436278e-4,7.9426548082472e-4,5.497347148824816e-4,4.967095326010589e-4,5.24841304778796e-4,5.00227539431932e-4,3.623423693041145e-4,3.5400625546659777e-4
Dice.dice,Dice.dice,mh by time,random-fu sampler,KL divergence,1.1099787031139383e-2,2.0401776858458135e-3,1.4917577713523139e-3,1.2571393765574846e-3,6.90666929815751e-4,6.869337459233197e-4,5.415652167176287e-4,5.13717543308719e-4,4.238357477238328e-4,4.0578074341467743e-4
Dice.dice,Dice.dice,mh by time,random-fu sampler,KL divergence,2.2244165967764514e-2,1.7618746319797809e-3,6.691324036275168e-4,5.250721008326842e-4,7.831708407764105e-4,6.071710050603912e-4,4.238768075798177e-4,4.852806179188526e-4,5.273221906326639e-4,4.928951203285969e-4
Dice.dice,Dice.dice,mh by time,random-fu sampler,KL divergence,1.9268027163774605e-2,3.4861197388627923e-3,1.064360216846389e-3,6.271465562040833e-4,6.251223450660816e-4,5.758914172321212e-4,5.402696455455244e-4,5.976522874852885e-4,4.968896256109682e-4,4.646511094400641e-4
Dice.dice,Dice.dice,mh by time,random-fu sampler,KL divergence,1.26087848669877e-2,1.6492882274190032e-3,1.425851435578249e-3,6.767339751839957e-4,6.08354849293165e-4,4.5197112029556313e-4,2.722906732076398e-4,3.222197081725163e-4,2.5971619402827707e-4,1.5532757196702038e-4
Dice.dice,Dice.dice,mh by time,random-fu sampler,KL divergence,2.5855342371961267e-2,4.538920753430916e-3,1.8810775805062619e-3,1.551250702065431e-3,1.0513030899854262e-3,8.090576610628311e-4,7.921539455912219e-4,6.35678109516091e-4,6.456525672274496e-4,6.672184430490116e-4
Dice.dice,Dice.dice,mh by time,random-fu sampler,KL divergence,8.810750276180076e-3,1.8852711708770406e-3,1.009554725285656e-3,6.256169987114258e-4,5.888331425039319e-4,4.258117148254507e-4,3.4026554934125025e-4,3.014476707366899e-4,2.445591463652804e-4,1.7182986017158362e-4
Dice.dice,Dice.dice,mh by time,random-fu sampler,KL divergence,2.240829594391385e-2,1.9130574564152959e-3,1.0926920836815302e-3,9.867879141624528e-4,5.130550819020185e-4,7.77146961043567e-4,4.993835606689938e-4,2.9396049070072415e-4,2.7630720745656386e-4,2.021035735836642e-4
Dice.dice,Dice.dice,mh by time,random-fu sampler,KL divergence,1.3605048206783524e-2,3.5345254505756763e-3,1.096115466429926e-3,8.631345051407418e-4,7.977015256938129e-4,6.120633189157065e-4,4.4335160163293144e-4,4.2594299125350827e-4,4.725977349537705e-4,4.595028336604746e-4
Dice.dice,Dice.dice,mh by time,random-fu sampler,KL divergence,3.9136181353735755e-2,5.15648870847147e-3,2.532150215142811e-3,1.3383395483034925e-3,9.249326348747446e-4,1.0306655868969055e-3,8.829121035938438e-4,7.597001617547255e-4,6.222279119200246e-4,5.971187900798108e-4
Dice.dice,Dice.dice,mh by time,random-fu sampler,KL divergence,1.6547701495288877e-2,2.3588722996592455e-3,8.236128582092269e-4,5.334591190725146e-4,3.892291967418818e-4,2.1988514543107307e-4,2.01643856191346e-4,1.5273193643842807e-4,1.3779810963228655e-4,1.280637471723324e-4
Dice.dice,Dice.dice,mh by time,random-fu sampler,KL divergence,1.327690141677834e-2,1.5634666167970563e-3,1.6472023705337954e-3,7.95057039843893e-4,2.964795557743737e-4,2.4956811729633934e-4,2.2715696158947586e-4,1.7814601794816372e-4,1.9536350337526535e-4,2.531011432717887e-4
Dice.dice,Dice.dice,mh by time,random-fu sampler,KL divergence,1.6154318765482567e-2,3.91655893506594e-3,1.9278273009639352e-3,1.2901142015658794e-3,9.69164788117937e-4,5.504304054810313e-4,4.2945158297207e-4,3.396209167417087e-4,3.1514334387038544e-4,3.2790246712411427e-4
Dice.dice,Dice.dice,mh by time,random-fu sampler,KL divergence,2.001021214404737e-2,6.727450107813627e-3,3.2221016530161917e-3,1.5052956258161442e-3,7.015570402665192e-4,1.131384958558177e-3,7.889857424521011e-4,1.0071833982211364e-3,7.749272042408419e-4,5.464002226894098e-4
Dice.dice,Dice.dice,mh by time,random-fu sampler,KL divergence,2.0072777878282173e-2,3.8515652894508656e-3,2.124115887596208e-3,1.5399389200962494e-3,1.2774118978923035e-3,1.2058783405693124e-3,5.541342272056475e-4,4.879484925458369e-4,4.1188061459308383e-4,2.9887833311723733e-4
Dice.dice,Dice.dice,mh by time,random-fu sampler,KL divergence,1.9359550726519622e-2,2.368169964204215e-3,1.5047615094792785e-3,1.2943591002761397e-3,9.492608347639465e-4,1.1469895433925605e-3,5.93074428611327e-4,6.182530014646085e-4,4.5031006836708266e-4,4.489324011523369e-4
Dice.dice,Dice.dice,mh by time,random-fu sampler,KL divergence,1.0728841827815468e-2,2.0400390655052683e-3,1.1102649023202885e-3,1.2630235609470688e-3,9.205700492841945e-4,6.753856992233539e-4,5.267553412724864e-4,3.945059850092421e-4,3.5345048355296584e-4,2.7759878199213966e-4
Dice.dice,Dice.dice,mh by time,random-fu sampler,KL divergence,1.3677378099588808e-2,7.154132677425526e-3,1.5231219901691007e-3,8.785278215496028e-4,8.985799830599835e-4,8.153804835470384e-4,7.43271566829505e-4,5.195734019213578e-4,4.016440249551837e-4,3.01525898640146e-4
Dice.dice,Dice.dice,mh by time,random-fu sampler,KL divergence,3.188233414589041e-2,2.5916004485586125e-3,1.3169082732340214e-3,9.591920179366717e-4,5.692481391406743e-4,4.59858254939839e-4,3.2332054357597805e-4,2.604293001424778e-4,2.8902069736783863e-4,3.2741183582809315e-4
Dice.dice,Dice.dice,mh by time,random-fu sampler,KL divergence,1.1018071888578417e-2,2.9627091480076517e-3,1.2636753219779052e-3,1.1551750878913381e-3,8.56791499780703e-4,7.330047452830096e-4,4.60219009622273e-4,3.7105210691530915e-4,3.131667045089605e-4,2.6414157541972946e-4
Dice.dice,Dice.dice,mh by time,random-fu sampler,KL divergence,1.1362976146491163e-2,2.4772871485583803e-3,1.1145045425603268e-3,4.4826066420159706e-4,4.0638763679667564e-4,3.334214795153365e-4,2.557280029857385e-4,2.774436341704336e-4,2.2175231921084203e-4,1.8843987048103636e-4
Dice.dice,Dice.dice,mh by time,random-fu sampler,KL divergence,2.5818362917064006e-2,1.8070607799789246e-3,1.156001148064374e-3,7.21634215527214e-4,6.332452845179516e-4,4.957559901462538e-4,3.0278449954088176e-4,3.0883757796389903e-4,2.883113656805742e-4,2.440842052150948e-4
